iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
IND,India,31-12-2019,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,01-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,02-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,03-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,04-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,05-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,06-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,07-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,08-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,09-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,10-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,11-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,12-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,13-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,14-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,15-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,16-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,17-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,18-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,19-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,20-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,21-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,22-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,23-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,24-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,25-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,26-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,27-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,28-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,29-01-2020,0,0,0,0,0,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,30-01-2020,1,1,0,0,0.001,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,31-01-2020,1,0,0,0,0.001,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,01-02-2020,1,0,0,0,0.001,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,02-02-2020,2,1,0,0,0.001,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,03-02-2020,2,0,0,0,0.001,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,04-02-2020,3,1,0,0,0.002,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,05-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,06-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,07-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,08-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,09-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,10-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,11-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,12-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,13-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,14-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,15-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,16-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,17-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,18-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,19-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,20-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,21-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,22-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,23-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,24-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,25-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,26-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,27-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,28-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,29-02-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,01-03-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,02-03-2020,3,0,0,0,0.002,0,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,03-03-2020,5,2,0,0,0.004,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,04-03-2020,6,1,0,0,0.004,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,05-03-2020,28,22,0,0,0.02,0.016,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,06-03-2020,29,1,0,0,0.021,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,07-03-2020,31,2,0,0,0.022,0.001,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,08-03-2020,34,3,0,0,0.025,0.002,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,10-03-2020,44,10,0,0,0.032,0.007,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,11-03-2020,50,6,0,0,0.036,0.004,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,12-03-2020,73,23,0,0,0.053,0.017,0,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,13-03-2020,75,2,1,1,0.054,0.001,0.001,0.001,6500,,0.005,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,14-03-2020,83,8,2,1,0.06,0.006,0.001,0.001,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,15-03-2020,90,7,2,0,0.065,0.005,0.001,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,16-03-2020,93,3,2,0,0.067,0.002,0.001,0,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,17-03-2020,125,32,3,1,0.091,0.023,0.002,0.001,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,18-03-2020,137,12,3,0,0.099,0.009,0.002,0,13125,,0.01,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,19-03-2020,165,28,3,0,0.12,0.02,0.002,0,13316,191,0.01,0,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,20-03-2020,191,26,4,1,0.138,0.019,0.003,0.001,14376,1060,0.01,0.001,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,21-03-2020,231,40,4,0,0.167,0.029,0.003,0,15701,1325,0.011,0.001,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,22-03-2020,320,89,4,0,0.232,0.064,0.003,0,16999,1298,0.012,0.001,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,23-03-2020,439,119,7,3,0.318,0.086,0.005,0.002,20707,3708,0.015,0.003,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,24-03-2020,492,53,9,2,0.357,0.038,0.007,0.001,20864,157,0.015,0,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,25-03-2020,562,70,9,0,0.407,0.051,0.007,0,25144,4280,0.018,0.003,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,26-03-2020,649,87,13,4,0.47,0.063,0.009,0.003,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,27-03-2020,724,75,17,4,0.525,0.054,0.012,0.003,27688,,0.02,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,28-03-2020,873,149,19,2,0.633,0.108,0.014,0.001,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,29-03-2020,979,106,25,6,0.709,0.077,0.018,0.004,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,30-03-2020,1071,92,29,4,0.776,0.067,0.021,0.003,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,31-03-2020,1251,180,32,3,0.907,0.13,0.023,0.002,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,01-04-2020,1397,146,35,3,1.012,0.106,0.025,0.002,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,02-04-2020,1965,568,50,15,1.424,0.412,0.036,0.011,47951,,0.035,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,03-04-2020,2301,336,56,6,1.667,0.243,0.041,0.004,69245,21294,0.05,0.015,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,04-04-2020,2902,601,68,12,2.103,0.436,0.049,0.009,79950,10705,0.058,0.008,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,05-04-2020,3374,472,77,9,2.445,0.342,0.056,0.007,89534,9584,0.065,0.007,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,06-04-2020,4067,693,109,32,2.947,0.502,0.079,0.023,101068,11534,0.073,0.008,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,07-04-2020,4421,354,114,5,3.204,0.257,0.083,0.004,114015,12947,0.083,0.009,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,08-04-2020,5194,773,149,35,3.764,0.56,0.108,0.025,127919,13904,0.093,0.01,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,09-04-2020,5734,540,166,17,4.155,0.391,0.12,0.012,144910,16991,0.105,0.012,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,10-04-2020,6412,678,199,33,4.646,0.491,0.144,0.024,161330,16420,0.117,0.012,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,11-04-2020,7447,1035,239,40,5.396,0.75,0.173,0.029,179374,18044,0.13,0.013,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,12-04-2020,8356,909,273,34,6.055,0.659,0.198,0.025,195748,16374,0.142,0.012,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,13-04-2020,9152,796,308,35,6.632,0.577,0.223,0.025,217554,21806,0.158,0.016,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,14-04-2020,10363,1211,339,31,7.509,0.878,0.246,0.022,244893,27339,0.177,0.02,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,15-04-2020,11438,1075,377,38,8.288,0.779,0.273,0.028,274599,29706,0.199,0.022,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,16-04-2020,12380,942,414,37,8.971,0.683,0.3,0.027,302956,28357,0.22,0.021,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,17-04-2020,13387,1007,437,23,9.701,0.73,0.317,0.017,335123,32167,0.243,0.023,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,18-04-2020,14378,991,480,43,10.419,0.718,0.348,0.031,372123,37000,0.27,0.027,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,19-04-2020,15712,1334,507,27,11.385,0.967,0.367,0.02,401586,29463,0.291,0.021,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,20-04-2020,17265,1553,543,36,12.511,1.125,0.393,0.026,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,21-04-2020,18600,1335,590,47,13.478,0.967,0.428,0.034,462621,,0.335,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,22-04-2020,19984,1384,640,50,14.481,1.003,0.464,0.036,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,23-04-2020,21393,1409,681,41,15.502,1.021,0.493,0.03,500542,,0.363,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,24-04-2020,23077,1684,718,37,16.722,1.22,0.52,0.027,541789,41247,0.393,0.03,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,25-04-2020,24506,1429,775,57,17.758,1.036,0.562,0.041,579957,38168,0.42,0.028,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,26-04-2020,26496,1990,824,49,19.2,1.442,0.597,0.036,625309,45352,0.453,0.033,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,27-04-2020,27892,1396,872,48,20.212,1.012,0.632,0.035,665819,40510,0.482,0.029,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,28-04-2020,29435,1543,934,62,21.33,1.118,0.677,0.045,716733,50914,0.519,0.037,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,29-04-2020,31332,1897,1007,73,22.704,1.375,0.73,0.053,770764,54031,0.559,0.039,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,30-04-2020,33050,1718,1074,67,23.949,1.245,0.778,0.049,830201,59437,0.602,0.043,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,01-05-2020,35043,1993,1147,73,25.393,1.444,0.831,0.053,902654,72453,0.654,0.053,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,02-05-2020,37336,2293,1218,71,27.055,1.662,0.883,0.051,976363,73709,0.708,0.053,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,03-05-2020,39980,2644,1301,83,28.971,1.916,0.943,0.06,1046450,70087,0.758,0.051,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,04-05-2020,42533,2553,1373,72,30.821,1.85,0.995,0.052,1107233,60783,0.802,0.044,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,05-05-2020,46433,3900,1568,195,33.647,2.826,1.136,0.141,1191946,84713,0.864,0.061,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,06-05-2020,49391,2958,1694,126,35.79,2.143,1.228,0.091,1276781,84835,0.925,0.061,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,07-05-2020,52952,3561,1783,89,38.371,2.58,1.292,0.064,1357413,80632,0.984,0.058,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,08-05-2020,56342,3390,1886,103,40.827,2.457,1.367,0.075,1437788,80375,1.042,0.058,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,09-05-2020,59662,3320,1981,95,43.233,2.406,1.436,0.069,1523213,85425,1.104,0.062,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,10-05-2020,62939,3277,2109,128,45.608,2.375,1.528,0.093,1609037,85824,1.166,0.062,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
